Date,high,low,open,close,volume,median,signal,sorting,slowk,slowd,SMA,SAR,macd,macdsignal,macdhist,upperband,middleband,lowerband,HT_TRENDLINE,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS
2015-03-13,294.49798583984375,285.3370056152344,294.1180114746094,285.3370056152344,31421500,289.91749572753906,2,71,70.26715441668166,77.7042709463485,262.0696813964844,273.4354423913648,13.379151492162919,11.499357996212854,1.8797934959500644,299.15983291306475,291.48740234375,283.8149717744352,257.3650095565509,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-14,286.3420104980469,280.97601318359375,284.4419860839844,281.885009765625,22612300,283.6590118408203,2,72,42.60721254540933,64.23074105897739,263.60068176269533,276.6284700661198,12.51922036164234,11.703330469298752,0.8158898923435878,300.90938813135654,289.94300537109376,278.976622610831,259.7641299176229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2015-03-15,286.52899169921875,280.9960021972656,281.42498779296875,286.39300537109375,11970100,283.7624969482422,2,73,27.17622208426164,46.68352968211756,265.6033618164063,279.43833441990415,12.062428152563768,11.775150005951755,0.2872781466120138,299.9643595179438,288.8696044921875,277.77484946643114,261.8259073651026,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-16,294.11199951171875,285.68499755859375,285.68499755859375,290.5929870605469,21516100,289.89849853515625,2,74,32.4852349237462,34.08955651780574,267.61576110839843,280.97601318359375,11.902120224352416,11.800544049631887,0.10157617472052927,296.37267771463814,287.71240234375,279.05212697286186,263.6423052752459,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,292.364990234375,284.3739929199219,290.5950012207031,285.5050048828125,21497200,288.36949157714844,2,75,42.06071473995539,33.90739058265442,269.2848010253906,280.9960021972656,11.235007226825076,11.687436685070525,-0.4524294582454491,291.51763526483273,285.9426025390625,280.3675698132922,265.45647187409577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-18,285.33599853515625,249.8699951171875,285.0669860839844,256.29901123046875,57008000,267.6029968261719,1,76,35.904439576875944,36.81679641352586,269.7554016113281,300.04400634765625,8.254483222571707,11.000845992570762,-2.7463627699990543,304.60679921250613,280.1350036621094,255.66320811171263,266.7828311496311,0,0,0,0,-100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-19,264.2439880371094,248.63600158691406,255.8800048828125,260.9280090332031,52732000,256.4399948120117,2,77,25.018235896417213,34.32779673774953,270.7534417724609,299.0405261230469,6.194511440282781,10.039579082113166,-3.8450676418303846,304.60148783667404,275.943603515625,247.28571919457596,267.4000699078596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-20,264.8479919433594,259.1619873046875,260.95599365234375,261.7489929199219,18456700,262.00498962402344,2,78,23.465369149515144,28.129348207602785,271.6677215576172,297.0243451416016,4.57547230335274,8.946757726361081,-4.3712854230083416,299.26262456046896,271.0148010253906,242.76697749031229,267.54572465830836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2015-03-21,262.1960144042969,255.64999389648438,261.6440124511719,260.0249938964844,17130100,258.9230041503906,2,79,27.303040764750687,25.2622152702277,272.5193212890625,295.0888113994141,3.1173252249326993,7.780871226075405,-4.663546001142706,285.8394825353967,264.9012023925781,243.9629222497595,267.39642679324095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2015-03-22,269.74700927734375,259.5899963378906,259.9169921875,267.9599914550781,18438100,264.6685028076172,2,80,35.84446346754148,28.870957793935787,273.7389208984375,293.2306990069141,2.5723684846915944,6.739170677798643,-4.166802193107048,268.9440727679515,261.39219970703124,253.84032664611095,267.90305522260996,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
